41012 | PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA W/CC
41013 | PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA W/MCC
41021 | PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA
41022 | PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/CC
41023 | PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC
41101 | PH PROCEDIMIENTOS COMPLEJOS SOBRE APARATO RESPIRATORIO
41102 | PH PROCEDIMIENTOS COMPLEJOS SOBRE APARATO RESPIRATORIO W/CC
41103 | PH PROCEDIMIENTOS COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC
41201 | PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO
41202 | PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/CC
41203 | PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC
41301 | PH PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE APARATO RESPIRATORIO
41302 | PH PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE APARATO RESPIRATORIO W/CC
41303 | PH PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC
42100 | PA PROCEDIMIENTOS COMPLEJOS SOBRE APARATO RESPIRATORIO
42210 | PA PROCEDIMIENTOS DE VENTILACIÓN MECÁNICA DE CORTA DURACIÓN
42220 | PA PROCEDIMIENTOS SOBRE LARINGE Y TRAQUEA
42310 | PA MEDIASTINOSCOPIA/TORACOSCOPIA
42320 | PA PROCEDIMIENTOS TORÁCICOS INTERMEDIOS
43100 | PA PROCEDIMIENTOS SOBRE PARED TORÁCICA
43110 | PA INSERCIÓN DE TUBO TORÁCICO
43120 | PA TORACOCENTESIS
43130 | PA PROCEDIMIENTOS DE TERAPIA RESPIRATORIA
43140 | PA BIOPSIA Y ASPIRACIÓN PERCUTÁNEA
43150 | PA BRONCOSCOPIA
43170 | PA OTROS PROCEDIMIENTOS SOBRE APARATO RESPIRATORIO
44101 | MH FIBROSIS QUÍSTICA
44102 | MH FIBROSIS QUÍSTICA W/CC
44103 | MH FIBROSIS QUÍSTICA W/MCC
44111 | MH FALLA RESPIRATORIA
44112 | MH FALLA RESPIRATORIA W/CC
